ts,gpu_busy_pct,foreign_chromium_n,foreign_chromium_cpu_pct,my_chromium_n,my_chromium_cpu_pct,load1
10:39:32,0,8,-272.9,0,0.0,5.15
10:39:33,99,8,82.5,0,0.0,5.15
10:39:34,100,8,110.3,0,0.0,5.15
10:39:35,100,8,32.7,0,0.0,5.15
10:39:36,100,8,95.4,0,0.0,5.15
10:39:37,24,8,114.3,0,0.0,4.98
10:39:38,99,8,16.9,0,0.0,4.98
10:39:39,27,8,110.3,0,0.0,4.98
10:39:40,0,8,112.2,0,0.0,4.98
10:39:41,100,8,13.9,0,0.0,4.98
10:39:42,83,8,101.2,0,0.0,4.98
10:39:43,99,8,24.9,0,0.0,4.98
10:39:44,0,8,89.4,0,0.0,4.98
10:39:45,0,8,36.8,0,0.0,4.98
10:39:46,100,8,78.6,0,0.0,4.98
10:39:47,100,8,49.7,0,0.0,5.06
10:39:48,0,8,13.9,0,0.0,5.06
10:39:49,100,8,56.7,0,0.0,5.06
10:39:50,0,8,57.6,0,0.0,5.06
10:39:51,81,8,26.8,0,0.0,5.06
10:39:52,0,8,117.3,0,0.0,5.22
10:39:53,0,8,115.1,0,0.0,5.22
10:39:54,100,8,114.2,0,0.0,5.22
10:39:55,0,8,83.4,0,0.0,5.22
10:39:56,0,8,42.7,0,0.0,5.22
10:39:57,99,8,113.4,0,0.0,5.28
10:39:58,0,8,111.3,0,0.0,5.28
10:39:59,100,8,112.3,0,0.0,5.28
10:40:00,0,14,100.4,0,0.0,5.28
10:40:01,55,14,142.0,0,0.0,5.28
10:40:02,100,14,133.2,0,0.0,5.42
10:40:03,30,14,124.5,0,0.0,5.42
10:40:04,0,14,146.1,0,0.0,5.42
10:40:05,49,14,103.1,0,0.0,5.42
10:40:06,100,14,109.2,0,0.0,5.42
10:40:07,100,14,160.6,0,0.0,5.47
10:40:08,26,14,-207.1,0,0.0,5.47
10:40:09,0,14,140.9,0,0.0,5.47
10:40:10,100,14,155.1,0,0.0,5.47
10:40:11,0,14,36.7,0,0.0,5.47
10:40:12,100,14,130.2,0,0.0,5.51
10:40:14,55,14,144.0,0,0.0,5.51
10:40:15,0,14,54.6,0,0.0,5.51
10:40:16,24,14,169.4,0,0.0,5.51
10:40:17,0,8,-304.8,0,0.0,5.51
10:40:18,100,8,98.4,0,0.0,5.55
10:40:19,100,8,27.8,0,0.0,5.55
10:40:20,0,14,187.8,0,0.0,5.55
10:40:21,100,14,70.6,0,0.0,5.55
10:40:22,0,14,22.8,0,0.0,5.55
10:40:23,0,14,117.3,0,0.0,5.43
10:40:24,0,14,121.6,0,0.0,5.43
10:40:25,99,14,53.7,0,0.0,5.43
10:40:26,100,14,138.1,0,0.0,5.43
10:40:27,0,8,-194.7,0,0.0,5.43
10:40:28,100,8,116.3,0,0.0,5.47
10:40:29,33,8,91.3,0,0.0,5.47
10:40:30,100,14,41.8,0,0.0,5.47
10:40:31,22,14,222.0,0,0.0,5.47
10:40:32,0,14,124.1,0,0.0,5.47
10:40:33,0,14,140.1,0,0.0,5.67
10:40:34,0,14,123.2,0,0.0,5.67
10:40:35,0,14,74.6,0,0.0,5.67
10:40:36,0,14,173.8,0,0.0,5.67
10:40:37,0,14,149.0,0,0.0,5.67
10:40:38,99,8,-180.0,0,0.0,5.86
10:40:39,100,8,62.7,0,0.0,5.86
10:40:40,0,8,67.5,0,0.0,5.86
10:40:41,0,14,151.1,0,0.0,5.86
10:40:42,0,14,137.2,0,0.0,5.86
10:40:43,29,14,91.5,0,0.0,5.71
10:40:44,0,14,124.2,0,0.0,5.71
10:40:45,0,14,64.6,0,0.0,5.71
10:40:46,0,14,120.4,0,0.0,5.71
10:40:47,0,14,159.0,0,0.0,5.71
10:40:48,0,14,57.7,0,0.0,5.65
10:40:49,0,8,-175.7,0,0.0,5.65
10:40:50,0,13,21.9,2,8.0,5.65
10:40:51,99,13,115.4,2,1.0,5.65
10:40:52,0,19,108.3,2,0.0,5.65
