:1.1	4139	gnome-shell
:1.12	4337	evolution-alarm
:1.13	4348	cc-switch
:1.15	4856	gjs
:1.18	5863	xdg-desktop-por
:1.19	5739	WeChatAppEx
:1.21	6378	update-notifier
:1.23	6458	update-manager
:1.24	5600	nautilus
:1.25	9042	firefox
:1.26	4180	mutter-x11-fram
:1.27	10761	terminator
:1.28	30300	feishu
:1.3	4263	gsd-color
:1.4	4270	gsd-keyboard
:1.5	4276	gsd-power
:1.59	303448	chrome
:1.6	4302	gsd-wacom
:1.7	4306	gsd-xsettings
:1.8	4273	gsd-media-keys
