:1.1	4139	gnome-shell	?	3736
:1.12	4337	evolution-alarm	?	4110
:1.13	4348	cc-switch	?	4110
:1.14	4637	WebKitWebProces	?	4348
:1.15	4856	gjs	?	4139
:1.16	4535	LAgentUser	?	3736
:1.17	5657	wechat	?	4139
:1.18	5863	xdg-desktop-por	?	3736
:1.19	5739	WeChatAppEx	?	5657
:1.2	4183	at-spi2-registr	?	3736
:1.21	6378	update-notifier	?	4110
:1.23	6458	update-manager	?	3736
:1.24	5600	nautilus	?	3736
:1.25	9042	firefox	?	4139
:1.26	4180	mutter-x11-fram	?	4139
:1.27	10761	terminator	?	4139
:1.28	30300	feishu	?	4139
:1.3	4263	gsd-color	?	3736
:1.32		?	?	229182
14931
19609
10395
19167
6346
7863
4988
3856
6576
3215
2481
3945
3245
2905
1947
1612
10778
24804
8141
25704
5523
6264
4645
3833
2472
4421
3015
4396
3579
3569
2597
2349
0





2009200
:1.4	4270	gsd-keyboard	?	3736
:1.5	4276	gsd-power	?	3736
:1.6	4302	gsd-wacom	?	3736
:1.7	4306	gsd-xsettings	?	3736
:1.8	4273	gsd-media-keys	?	3736
